step_name,text,img,text_key_1,type_key_1,text_key_2,type_key_2,text_key_3,type_key_3,text_key_4,type_key_4
small_steps_1,"Мы с тобой уже немного познакомились, поэтому предлагаю перейти к делу ☺️ итак…

Посмотри видео, чтобы мы могли продолжить дальше (18 мин): https://youtu.be/692ESRTtxEo?t=48",Images/small_steps_1.jpg,👍🏼 Посмотрел,,,,,,,
small_steps_2,"СОВЕТ #1. НАЧНИ С МАЛОГО, ЗАТЕМ СДЕЛАЙ БОЛЬШЕ
Когда ты хочешь начать заниматься — лучше начать прямо сейчас с первого шага, а не мечтать о далеком пути в 1000 км.

☝🏻 Я серьёзно. С физическими упражнениями это означает, что лучше отжиматься всего один раз, чем ПЛАНИРОВАТЬ ходить в спортзал с тренером 3 раза в неделю… и НИКОГДА не начать.
Сегодня ты можешь начать с того, чтобы выучить 10 слов, а на следующий день 11 и так далее.",,👍🏼 Верно,,👎🏻 Не верно,,,,,
small_steps_3,"👉 СДЕЛАЙ ПРЯМО СЕЙЧАС:
Определи план минимум (как отжаться один раз). То, что ты будешь делать каждый день для изучения Английского.

Ты можешь заниматься английским и по 4 часа в день, но я прошу тебя определить свой “план минимум”. Ты выполнишь его в любом случае, даже если начнётся вторжение инопланетян или твоя морская свинка заболеет корона 👑 вирусом 🐹

Например это может быть прохождение 1 урока в приложении Duolingo. (Это всего 2-5 минут).

Ссылки на Duolingo: <a href=""https://apps.apple.com/ru/app/duolingo/id570060128"">iOS</a> / <a href=""https://play.google.com/store/apps/details?id=com.duolingo&hl=ru"">Android</a>

Вдохновляйся идеями других участников марафона (https://vk.com/topic-83727735_40908367) и обязательно напиши что придумал для себя.

Скорей выполняй задание и нажимай кнопку сделал. У нас не ставят двойки и не вызывают родителей в школу, но я буду анализировать твою успеваемость, чтобы подстраивать сложность марафона под твою скорость продвижения. ",,👍🏼Сделал,,👎🏻Не хочу делать,,,,,
small_steps_4,"✅Done: Ежедневное задание марафона, по формированию привычки

А теперь приступай к любому занятию по изучению английского на свой выбор. Используй специальные мобильные приложения или просто посмотри видео на английском языке в youtube. Сейчас важно не качество урока, а его регулярность чтобы создать нейронную связь в твоём мозге и постепенно сформировать привычку. ",Images/small_steps_4.jpg,👍🏼Сделал,,👎🏻Не хочу делать,,,,,
small_steps_5,"✅Done: Ежедневное занятие английским

Поздравляю, ты в ударе! Сегодня ты выполнил 100% ежедневного плана.

Лови от меня подарок за это.

<b>ИНСТРУМЕНТ ДНЯ.</b> Для чтения сайтов на английском языке удобно использовать расширения для браузера, которые в один клик позволяют переводить незнакомые слова или даже целые выражения. Расширения для Гугл хром: <a href=""https://chrome.google.com/webstore/detail/google-translate/aapbdbdomjkkjkaonfhkkikfgjllcleb"">Google Переводчик</a>, <a href=""https://chrome.google.com/webstore/detail/imtranslator-translator-d/noaijdpnepcgjemiklgfkcfbkokogabh"">ImTranslator<</a>.

😉 До встречи завтра на новом дне марафона",,,,,,,,,